,src0,src1,dst,Instruction,Family,CPNUM[2:0],,,COPC[8:0],,,,,,,,,CPREG[11:0],,,,,,,,,,,,Hardware,,,,,,,,Software,,,,,,,,,Software Temp,,,,,Hardware Temp,Operand Width,,Operand width,Instruction number,,,,,,,,,
,,,,SMIN.16,Arithmetic instruction,Rd,Rn,Rm,0,0,1,1,1,0,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SMIN.16,4'h3,4'hB,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SMIN.16,CDP,4'h7,3'h3,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,7,7,3,3,,4'h,3,3,4'h,11,B,,,,,,,,
,,,,UMMUL.16,Multiply instruction,Rd,Rn,Rm,0,0,1,1,1,1,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,UMMUL.16,4'h3,4'hC,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,UMMUL.16,CDP,4'h7,3'h4,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,7,7,4,4,,4'h,3,3,4'h,12,C,,,,,,,,
,,,,SMMUL.16,Multiply instruction,Rd,Rn,Rm,0,0,1,1,1,1,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SMMUL.16,4'h3,4'hD,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SMMUL.16,CDP,4'h7,3'h5,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,7,7,5,5,,4'h,3,3,4'h,13,D,,,,,,,,
,,,,UMUL.16,Multiply instruction,Rd,Rn,Rm,0,0,1,1,1,1,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,UMUL.16,4'h3,4'hE,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,UMUL.16,CDP,4'h7,3'h6,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,7,7,6,6,,4'h,3,3,4'h,14,E,,,,,,,,
,,,,SMUL.16,Multiply instruction,Rd,Rn,Rm,0,0,1,1,1,1,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SMUL.16,4'h3,4'hF,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SMUL.16,CDP,4'h7,3'h7,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,7,7,7,7,,4'h,3,3,4'h,15,F,,,,,,,,
Operand width,16,N/A,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:16],CPINST[15:13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EXP2.16,Special function instruction,Rd,Rn,Rm,0,1,0,0,0,0,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,imm3,imm2,imm1,imm0,EXP2.16,5'h8,3'h0,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",CPINST[3:0],,EXP2.16,CDP,4'h8,3'h0,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm4[3:0]=CRm[3:0],,8,8,0,0,,5'h,8,8,3'h,0,0,,,,,,,,
,,,,LOG2.16,Special function instruction,Rd,Rn,Rm,0,1,0,0,0,0,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,imm3,imm2,imm1,imm0,LOG2.16,5'h8,3'h1,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",CPINST[3:0],,LOG2.16,CDP,4'h8,3'h1,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm4[3:0]=CRm[3:0],,8,8,1,1,,5'h,8,8,3'h,1,1,,,,,,,,
,,,,RCP.16,Special function instruction,Rd,Rn,Rm,0,1,0,0,0,0,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,imm3,imm2,imm1,imm0,RCP.16,5'h8,3'h2,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",CPINST[3:0],,RCP.16,CDP,4'h8,3'h2,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm4[3:0]=CRm[3:0],,8,8,2,2,,5'h,8,8,3'h,2,2,,,,,,,,
,,,,RSQRT.16,Special function instruction,Rd,Rn,Rm,0,1,0,0,0,0,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,imm3,imm2,imm1,imm0,RSQRT.16,5'h8,3'h3,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",CPINST[3:0],,RSQRT.16,CDP,4'h8,3'h3,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm4[3:0]=CRm[3:0],,8,8,3,3,,5'h,8,8,3'h,3,3,,,,,,,,
Operand width,16,N/A,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:16],CPINST[15:13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ASR.16,Shift instruction,Rd,Rn,Rm,0,1,0,0,1,0,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,imm3,imm2,imm1,imm0,ASR.16,5'h9,3'h0,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",CPINST[3:0],,ASR.16,CDP,4'h9,3'h0,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm4[3:0]=CRm[3:0],,9,9,0,0,,5'h,9,9,3'h,0,0,,,,,,,,
,,,,LSR.16,Shift instruction,Rd,Rn,Rm,0,1,0,0,1,0,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,imm3,imm2,imm1,imm0,LSR.16,5'h9,3'h1,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",CPINST[3:0],,LSR.16,CDP,4'h9,3'h1,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm4[3:0]=CRm[3:0],,9,9,1,1,,5'h,9,9,3'h,1,1,,,,,,,,
,,,,LSL.16,Shift instruction,Rd,Rn,Rm,0,1,0,0,1,0,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,imm3,imm2,imm1,imm0,LSL.16,5'h9,3'h2,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",CPINST[3:0],,LSL.16,CDP,4'h9,3'h2,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm4[3:0]=CRm[3:0],,9,9,2,2,,5'h,9,9,3'h,2,2,,,,,,,,
,,,,ROL.16,Shift instruction,Rd,Rn,Rm,0,1,0,0,1,0,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,imm3,imm2,imm1,imm0,ROL.16,5'h9,3'h3,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",CPINST[3:0],,ROL.16,CDP,4'h9,3'h3,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm4[3:0]=CRm[3:0],,9,9,3,3,,5'h,9,9,3'h,3,3,,,,,,,,
,,,,MOV.16,Move and format instruction,Rd,Rn,Rm,0,1,0,0,1,1,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,,,,,MOV.16,5'h9,3'h4,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",,,MOV.16,CDP,4'h9,3'h4,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",,,9,9,4,4,,5'h,9,9,3'h,4,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operand width,8,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:14],CPINST[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,UMUL.8,Multiply instruction,Rd,Rn,Rm,0,1,0,1,0,0,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,UMUL.8,7'h28,1'h0,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,UMUL.8,CDP,4'hA,3'h0,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,10,A,0,0,,7'h,40,28,1'h,0,0,,,,,,,,
,,,,SMUL.8,Multiply instruction,Rd,Rn,Rm,0,1,0,1,0,0,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SMUL.8,7'h28,1'h1,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SMUL.8,CDP,4'hA,3'h1,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,10,A,1,1,,7'h,40,28,1'h,1,1,,,,,,,,
Operand width,16,8,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:14],CPINST[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,UMLA.16.8,Accumulator instruction,Rd,Rn,Rm,0,1,0,1,0,0,1,0,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,UMLA.16.8,7'h29,1'h0,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]",,,,UMLA.16.8,CDP,4'hA,3'h2,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]",,,,10,A,2,2,,7'h,41,29,1'h,0,0,,,,,,,,
,,,,SMLA.16.8,Accumulator instruction,Rd,Rn,Rm,0,1,0,1,0,0,1,1,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,SMLA.16.8,7'h29,1'h1,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]",,,,SMLA.16.8,CDP,4'hA,3'h3,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]",,,,10,A,3,3,,7'h,41,29,1'h,1,1,,,,,,,,
Operand width,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[19:14],CPINST[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MOVACC.8,Accumulator instruction,Rd,Rn,Rd,0,1,0,1,0,1,0,0,,Rn,Rn,Rn,Rn,,,,,,,sel1,sel0,MOVACC.8,7'h2A,1'h0,"CPNUM[1], CPINST[11:8]",,,CPINST[1:0],,MOVACC.8,CDP,4'hA,3'h4,"CPNUM[1], CRn[3:0]",,,WordSelect[1:0]=CRm[1:0],,10,A,4,4,,7'h,42,2A,1'h,0,0,,,,,,,,
,,,,ADDACC.8,Accumulator instruction,Rd,Rn,Rd,0,1,0,1,0,1,0,1,,Rn,Rn,Rn,Rn,,,,,,,sel1,sel0,ADDACC.8,7'h2A,1'h1,"CPNUM[1], CPINST[11:8]",,,CPINST[1:0],,ADDACC.8,CDP,4'hA,3'h5,"CPNUM[1], CRn[3:0]",,,WordSelect[1:0]=CRm[1:0],,10,A,5,5,,7'h,42,2A,1'h,1,1,,,,,,,,
Operand width,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:14],CPINST[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MOVACC.16,Accumulator instruction,Rd,Rn,Rd,0,1,0,1,0,1,1,0,,Rn,Rn,Rn,Rn,,,,,,,,sel0,MOVACC.16,7'h2B,1'h0,"CPNUM[1], CPINST[11:8]",,,CPINST[0],,MOVACC.16,CDP,4'hA,3'h6,"CPNUM[1], CRn[3:0]",,,ByteSelect[0]=CRm[0],,10,A,6,6,,7'h,43,2B,1'h,0,0,,,,,,,,
,,,,ADDACC.16,Accumulator instruction,Rd,Rn,Rd,0,1,0,1,0,1,1,1,,Rn,Rn,Rn,Rn,,,,,,,,sel0,ADDACC.16,7'h2B,1'h1,"CPNUM[1], CPINST[11:8]",,,CPINST[0],,ADDACC.16,CDP,4'hA,3'h7,"CPNUM[1], CRn[3:0]",,,ByteSelect[0]=CRm[0],,10,A,7,7,,7'h,43,2B,1'h,1,1,,,,,,,,
Operand width,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:14],CPINST[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MOVREG.8,Accumulator instruction,Rd,Rd,Rd,0,1,0,1,1,0,0,0,,,,,,Rd,Rd,Rd,Rd,,,sel1,sel0,MOVREG.8,7'h2C,1'h0,,,"CPNUM[2],CPINST[7:4]",CPINST[1:0],,MOVREG.8,CDP,4'hB,3'h0,,,"CPNUM[2],CRd[3:0]",WordSelect[1:0]=CRm[1:0],,11,B,0,0,,7'h,44,2C,1'h,0,0,,,,,,,,
,,,,MOVREGSAT.8,Accumulator instruction,Rd,Rd,Rd,0,1,0,1,1,0,0,1,,,,,,Rd,Rd,Rd,Rd,,,sel1,sel0,MOVREGSAT.8,7'h2C,1'h1,,,"CPNUM[2],CPINST[7:4]",CPINST[1:0],,MOVREGSAT.8,CDP,4'hB,3'h1,,,"CPNUM[2],CRd[3:0]",WordSelect[1:0]=CRm[1:0],,11,B,1,1,,7'h,44,2C,1'h,1,1,,,,,,,,
Operand width,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:14],CPINST[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MOVREG.16,Accumulator instruction,Rd,Rd,Rd,0,1,0,1,1,0,1,0,,,,,,Rd,Rd,Rd,Rd,,,,sel0,MOVREG.16,7'h2D,1'h0,,,"CPNUM[2],CPINST[7:4]",CPINST[0],,MOVREG.16,CDP,4'hB,3'h2,,,"CPNUM[2],CRd[3:0]",ByteSelect[0]=CRm[0],,11,B,2,2,,7'h,45,2D,1'h,0,0,,,,,,,,
,,,,MOVREGSAT.16,Accumulator instruction,Rd,Rd,Rd,0,1,0,1,1,0,1,1,,,,,,Rd,Rd,Rd,Rd,,,,sel0,MOVREGSAT.16,7'h2D,1'h1,,,"CPNUM[2],CPINST[7:4]",CPINST[0],,MOVREGSAT.16,CDP,4'hB,3'h3,,,"CPNUM[2],CRd[3:0]",ByteSelect[0]=CRm[0],,11,B,3,3,,7'h,45,2D,1'h,1,1,,,,,,,,
Operand width,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:15],CPINST[14:13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CMP.8,Arithmetic instruction,Rd,Rn,Rm,0,1,0,1,1,1,0,0,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,CMP.8,6'h17,2'h0,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]",,,,CMP.8,CDP,4'hB,3'h4,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]",,,,11,B,4,4,,6'h,23,17,2'h,0,0,,,,,,,,
,,,,UMLA.8,Accumulator instruction,Rd,Rn,Rm,0,1,0,1,1,1,0,1,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,UMLA.8,6'h17,2'h1,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]",,,,UMLA.8,CDP,4'hB,3'h5,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]",,,,11,B,5,5,,6'h,23,17,2'h,1,1,,,,,,,,
,,,,SMLA.8,Accumulator instruction,Rd,Rn,Rm,0,1,0,1,1,1,1,0,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,SMLA.8,6'h17,2'h2,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]",,,,SMLA.8,CDP,4'hB,3'h6,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]",,,,11,B,6,6,,6'h,23,17,2'h,2,2,,,,,,,,
Operand width,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:15],CPINST[14:13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CMP.16,Arithmetic instruction,Rd,Rn,Rm,0,1,1,0,0,0,0,0,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,CMP.16,6'h18,2'h0,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]",,,,CMP.16,CDP,4'hC,3'h0,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]",,,,12,C,0,0,,6'h,24,18,2'h,0,0,,,,,,,,
,,,,UMLA.16,Accumulator instruction,Rd,Rn,Rm,0,1,1,0,0,0,0,1,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,UMLA.16,6'h18,2'h1,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]",,,,UMLA.16,CDP,4'hC,3'h1,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]",,,,12,C,1,1,,6'h,24,18,2'h,1,1,,,,,,,,
,,,,SMLA.16,Accumulator instruction,Rd,Rn,Rm,0,1,1,0,0,0,1,0,,Rn,Rn,Rn,Rn,,,,,Rm,Rm,Rm,Rm,SMLA.16,6'h18,2'h2,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]",,,,SMLA.16,CDP,4'hC,3'h2,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]",,,,12,C,2,2,,6'h,24,18,2'h,2,2,,,,,,,,
Operand width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:15],CPINST[14:13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ASR8ACC,Accumulator instruction,Rd,Rd,Rd,0,1,1,0,0,1,0,0,,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,ASR8ACC,6'h19,2'h0,,,,,,ASR8ACC,CDP,4'hC,3'h4,,,,,,12,C,4,4,,6'h,25,19,2'h,0,0,,,,,,,,
,,,,ASR16ACC,Accumulator instruction,Rd,Rd,Rd,0,1,1,0,0,1,0,1,,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,ASR16ACC,6'h19,2'h1,,,,,,ASR16ACC,CDP,4'hC,3'h5,,,,,,12,C,5,5,,6'h,25,19,2'h,1,1,,,,,,,,
,,,,LSR8ACC,Accumulator instruction,Rd,Rd,Rd,0,1,1,0,0,1,1,0,,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,LSR8ACC,6'h19,2'h2,,,,,,LSR8ACC,CDP,4'hC,3'h6,,,,,,12,C,6,6,,6'h,25,19,2'h,2,2,,,,,,,,
,,,,LSR16ACC,Accumulator instruction,Rd,Rd,Rd,0,1,1,0,0,1,1,1,,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,Rd,LSR16ACC,6'h19,2'h3,,,,,,LSR16ACC,CDP,4'hC,3'h7,,,,,,12,C,7,7,,6'h,25,19,2'h,3,3,,,,,,,,
Operand width,16,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:15],CPINST[14:13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,UMULL.16,Multiply instruction,Rd,Rn,Rm,0,1,1,0,1,0,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,UMULL.16,6'h1A,2'h0,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,UMULL.16,CDP,4'hD,3'h0,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,13,D,0,0,,6'h,26,1A,2'h,0,0,,,,,,,,
,,,,SMULL.16,Multiply instruction,Rd,Rn,Rm,0,1,1,0,1,0,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SMULL.16,6'h1A,2'h1,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SMULL.16,CDP,4'hD,3'h1,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,13,D,1,1,,6'h,26,1A,2'h,1,1,,,,,,,,
