Instruction,RF Read,Flag read,Flag write,Execute,"RF, accumulator or internal register write",Complete,"Pipeline (when the next instruction can be executed in the pipeline, 1 means the following cycle)"
,,,,,,,
,,,,,,,
ADD.8,2,N/A,N/A,3,4,5,1
SUB.8,2,N/A,N/A,3,4,5,1
ADDS.8,2,N/A,3,3,4,5,1
SUBS.8,2,N/A,3,3,4,5,1
UMAX.8,2,N/A,N/A,3,4,5,1
SMAX.8,2,N/A,N/A,3,4,5,1
UMIN.8,2,N/A,N/A,3,4,5,1
SMIN.8,2,N/A,N/A,3,4,5,1
AND.8,2,N/A,N/A,3,4,5,1
OR.8,2,N/A,N/A,3,4,5,1
NAND.8,2,N/A,N/A,3,4,5,1
NOR.8,2,N/A,N/A,3,4,5,1
XOR.8,2,N/A,N/A,3,4,5,1
XNOR.8,2,N/A,N/A,3,4,5,1
ASRR.8,2,N/A,N/A,3,4,5,1
LSRR.8,2,N/A,N/A,3,4,5,1
LSLR.8,2,N/A,N/A,3,4,5,1
ROLR.8,2,N/A,N/A,3,4,5,1
ABS.8,2,N/A,N/A,3,4,5,1
ABSS.8,2,N/A,N/A,3,4,5,1
REGREPRSB.8,2,N/A,N/A,3,4,5,1
REGREPRSBS.8,2,N/A,N/A,3,4,5,1
,,,,,,,
RELU.8,2,N/A,N/A,6,7,8,1
NOT,2,N/A,N/A,3,4,5,1
MOV.8,2,N/A,N/A,3,4,5,1
ASR.8,2,N/A,N/A,3,4,5,1
LSR.8,2,N/A,N/A,3,4,5,1
LSL.8,2,N/A,N/A,3,4,5,1
ROL.8,2,N/A,N/A,3,4,5,1
ASRSAT.16.8,2,N/A,N/A,3,4,5,1
ASRSAT.32.16,2,N/A,N/A,4,5,6,2
LSRSAT.16.8,2,N/A,N/A,3,4,5,1
LSRSAT.32.16,2,N/A,N/A,4,5,6,2
,,,,,,,
ADD.16,2,N/A,N/A,3,4,5,1
SUB.16,2,N/A,N/A,3,4,5,1
ADDS.16,2,N/A,3,3,4,5,1
SUBS.16,2,N/A,3,3,4,5,1
ADC.16,2,2,N/A,3,4,5,1
SBC.16,2,2,N/A,3,4,5,1
ADCS.16,2,2,3,3,4,5,1
SBCS.16,2,2,3,3,4,5,1
UMAX.16,2,N/A,N/A,3,4,5,1
SMAX.16,2,N/A,N/A,3,4,5,1
UMIN.16,2,N/A,N/A,3,4,5,1
SMIN.16,2,N/A,N/A,3,4,5,1
UMMUL.16,2,N/A,N/A,6,7,8,4
SMMUL.16,2,N/A,N/A,6,7,8,4
UMUL.16,2,N/A,N/A,5,6,7,3
SMUL.16,2,N/A,N/A,5,6,7,3
SUMMUL.16,2,N/A,N/A,6,7,8,4
ABS.16,2,N/A,N/A,3,4,5,1
ABSS.16,2,N/A,N/A,3,4,5,1
REGREPRSB.16,2,N/A,N/A,3,4,5,1
REGREPRSBS.16,2,N/A,N/A,3,4,5,1
,,,,,,,
EXP2.16,2,N/A,N/A,6,7,8,1
LOG2.16,2,N/A,N/A,6,7,8,1
RCP.16,2,N/A,N/A,6,7,8,1
RSQRT.16,2,N/A,N/A,6,7,8,1
,,,,,,,
ASR.16,2,N/A,N/A,3,4,5,1
LSR.16,2,N/A,N/A,3,4,5,1
LSL.16,2,N/A,N/A,3,4,5,1
ROL.16,2,N/A,N/A,3,4,5,1
MOV.16,2,N/A,N/A,3,4,5,1
,,,,,,,
UMUL.8,2,N/A,N/A,3,4,5,1
SMUL.8,2,N/A,N/A,3,4,5,1
,,,,,,,
UMLA.16.8,2,N/A,N/A,4,4,5,2
SMLA.16.8,2,N/A,N/A,4,4,5,2
,,,,,,,
MOVACC.8,2,N/A,N/A,3,3,4,1
ADDACC.8,2,N/A,N/A,3,3,4,1
,,,,,,,
MOVACC.16,2,N/A,N/A,3,3,4,1
ADDACC.16,2,N/A,N/A,3,3,4,1
,,,,,,,
MOVREG.8,N/A,N/A,N/A,3,4,5,1
MOVREGSAT.8,N/A,N/A,N/A,3,4,5,1
,,,,,,,
MOVREG.16,N/A,N/A,N/A,3,4,5,1
MOVREGSAT.16,N/A,N/A,N/A,3,4,5,1
,,,,,,,
CMP.8,2,N/A,3,,4,5,1
UMLA.8,2,N/A,N/A,3,3,4,1
SMLA.8,2,N/A,N/A,3,3,4,1
,,,,,,,
CMP.16,2,N/A,3,,4,5,1
UMLA.16,2,N/A,N/A,6,6,7,4
SMLA.16,2,N/A,N/A,6,6,7,4
,,,,,,,
ASR8ACC,2,N/A,N/A,3,3,4,1
ASR16ACC,2,N/A,N/A,3,3,4,1
LSR8ACC,2,N/A,N/A,3,3,4,1
LSR16ACC,2,N/A,N/A,3,3,4,1
,,,,,,,
UMULL.16,2,N/A,N/A,6,7,8,4
SMULL.16,2,N/A,N/A,6,7,8,4
SUMULL.16,2,N/A,N/A,6,7,8,4
,,,,,,,
UMMUL.16.8,2,N/A,N/A,4,5,6,4
SMMUL.16.8,2,N/A,N/A,4,5,6,4
ASRR.16,2,N/A,N/A,3,4,5,1
LSRR.16,2,N/A,N/A,3,4,5,1
LSLR.16,2,N/A,N/A,3,4,5,1
ROLR.16,2,N/A,N/A,3,4,5,1
,,,,,,,
CSEL.8,2,2,N/A,3,4,5,1
SWZ.8,2,N/A,N/A,3,4,5,1
,,,,,,,
CSEL.16,2,2,N/A,3,4,5,1
,,,,,,,
SWZ.8.ZEXT.16,2,N/A,N/A,3,4,5,1
,,,,,,,
SET_BASEREG,N/A,N/A,N/A,N/A,2,3,1
SET_RELU,N/A,N/A,N/A,N/A,2,3,1
SET_SWZSEL_REG_SEL,N/A,N/A,N/A,N/A,2,3,1
,,,,,,,
REGREP.8,N/A,N/A,N/A,N/A,2,3,1
REGREPADD.8,2,N/A,N/A,N/A,4,5,1
,,,,,,,
REGREP.16,N/A,N/A,N/A,N/A,2,3,1
REGREPADD.16,2,N/A,N/A,3,4,5,1
,,,,,,,
SET_SWZSEL_SUBREG_SEL,N/A,N/A,N/A,N/A,2,3,1
SET_PLE_LANE_SEL,N/A,N/A,N/A,N/A,2,3,2
